Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,55524,166572,0.3333333333333333
1,false,false,55524,166572,0.3333333333333333
2,true,false,55524,83287,0.6666586622161922
2,false,false,55524,83287,0.6666586622161922
4,true,false,55524,43969,1.2627987900566309
4,false,false,55524,45117,1.230666932641798
8,true,false,55524,27572,2.013782097780357
8,false,false,55524,31485,1.7635064316341116
16,true,false,55524,21115,2.6295998105612126
16,false,false,55524,28400,1.9550704225352113
32,true,false,55524,20199,2.748848952918461
32,false,false,55524,28342,1.9590713428833533
64,true,false,55524,20177,2.751846161470982
64,false,false,55524,28338,1.9593478721151811
128,true,false,55524,20177,2.751846161470982
128,false,false,55524,28338,1.9593478721151811
256,true,false,55524,20177,2.751846161470982
256,false,false,55524,28338,1.9593478721151811
512,true,false,55524,20177,2.751846161470982
512,false,false,55524,28338,1.9593478721151811
1024,true,false,55524,20177,2.751846161470982
1024,false,false,55524,28338,1.9593478721151811
